#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,is the graphical server.
,xorg-xwininfo,allows querying information about windows.
,xorg-xinit,starts the graphical server.
,ttf-linux-libertine,provides the sans and serif fonts for LARBS.
,ranger,is an extensive terminal file manager that I like.
,arandr,is a UI for screen adjustment.
,calcurse,is a lightweight terminal-based calendar.
,xcompmgr,is for transparency and removing screen-tearing.
,xorg-xprop,is a tool for detecting window properties.
,dosfstools,allows your computer to access dos-like filesystems.
,libnotify,allows desktop notifications.
,dunst,is a suckless notification system.
,exfat-utils,allows management of FAT drives.
,sxiv,is a minimalist image viewer.
,xwallpaper,sets the wallpaper.
,ffmpeg,can record and splice video and audio on the command line.
,gnome-keyring,serves as the system keyring.
A,gtk-theme-arc-gruvbox-git,gives the dark GTK theme used in LARBS.
,neovim,a tidier vim with some useful features
,mpv,is the patrician's choice video player.
,man-db,lets you read man pages of programs.
,noto-fonts-emoji,is an emoji font.
,ntfs-3g,allows accessing NTFS partitions.
,pulseaudio-alsa,is the audio system.
,pulsemixer,is an audio controler.
,pamixer,is a command-line audio interface.
A,sc-im,is an Excel-like terminal spreadsheet manager.
,maim,can take quick screenshots at your request.
,unclutter,hides an inactive mouse.
,unrar,extracts rar's.
,unzip,unzips zips.
,xcape,gives the special escape/super mappings of LARBS.
,xclip,allows for copying and pasting from the command line.
,xdotool,provides window action utilities on the command line.
,xorg-xdpyinfo,aids with resolution determination and screen recording.
,youtube-dl,can download any YouTube video (or playlist or channel) when given the link.
,zathura,is a pdf viewer with vim-like bindings.
,zathura-pdf-mupdf,allows mupdf pdf compatibility in zathura.
,zathura-djvu,
,zathura-ps,
,poppler,manipulates .pdfs and gives .pdf previews and other .pdf functions.
,mediainfo,shows audio and video information.
,atool,manages and gives information about archives.
,fzf,is a fuzzy finder tool.
,highlight,can highlight code output.
,xorg-xbacklight,enables changing screen brightness levels.
A,zsh-fast-syntax-highlighting,provides syntax highlighting in the shell.
A,task-spooler,queues commands or files for download.
A,simple-mtpfs-git,enables the mounting of cell phones.
G,https://github.com/LukeSmithxyz/dwmblocks.git,serves as the modular status bar.
G,https://github.com/lukesmithxyz/dmenu.git,runs commands and provides a UI for selection.
G,https://github.com/lukesmithxyz/st.git,is my custom build of suckless's terminal emulator.
G,https://github.com/lukesmithxyz/dwm.git,is the window manager.
I,https://github.com/b4b4r07/gomi.git,is a better trash cli.
A,mutt-wizard-git,is a light-weight terminal-based email system.
,slock,"allows you to lock your computer, and quickly unlock with your password."
,terminus-font,The best font.
,ttf-roboto,A font.
,ttf-dejavu,A font.
,noto-fonts,A font.
,noto-fonts-cjk,A font.
,adobe-source-han-sans-otc-fonts,A font.
,adobe-source-han-serif-otc-fonts,A font.
,ibus,is a CJK input interface.
,ibus-chewing,is a Chinese input method.
,ibus-rime,
,ibus-anthy,is a Japanese input method.
,qutebrowser,is the best browser out there.
,syncthing,
,rsync,
,entr,
,texlive-most,tex patches
,texlive-lang,tex patches.
,curl,you curl what you curl.
,wget,you get what you get.
,emacs,is a nice user interface based on lisp.
,netctl,
,expect,
,sshpass,helps inject password through ssh.
,cronie,handles cronjobs.
A,dropbox,is a thing I'd like to get rid of :'( ..
A,htop-vim-git,is a better htop.
,alacritty,is a stable terminal emulator.
,xmonad,is a nice window manager.
,xmonad-contrib,patches xmonad.
,xmobar,is a nice bar manager that does well with xmonad.
,feh,displays wallpaper.
,fd,is a replacement of `find`.
,ripgrep,is a faster `grep`.
